,review_id,stars,text,food,atms,serv,prce,food_score,atms_score,serv_score,prce_score,man_avg_score,pred_avg_score
0,MlctEhsBk5RPv9GrZVxm2w,1,"Food was disgusting and my chicken was under cooked, our waitresses was clueless and took forever!",1,0,1,0,-1,0,-1,0,-1,0
1,4fHMRG2Qbkd144jxIijtyA,2,"Tried this place for the first time,
The environment is fun, bright and the IPod charging station and wi-fi are the only thing I would come back for.
I ordered the BBQ chicken salad, it was all lettuce and literally a teaspoon (NOT tablespoon) of chicken pieces.  The toppings were incredibly small.  $8.00 for a bowl of lettuce isn't going to impress anyone.
I wanted to try the pesto chicken panini, but they only offer white bread, no other healthy or gluten free options.
I was excited to try this place but walked out VERY disappointed.  Won't be back or recommend to anyone until they get real!!",1,1,0,1,-1,1,0,-1,-1,0
2,Kd2Y2Jbzn7DwF4JMdbX-Zg,1,"Ive been on the hunt for a good local fish taco and so far nothing.
I came to this place as its really close to work.
I ordered fish tacos..it was 10$ for two.
When ordering she did not tell me they use samon(frm a can) but i guess i should hve asked -_-
She asks if i want special sauce..i ask whats in it.its mustard ketchup and mayo mixed together ..what???
So i pick up the taco to eat it and its so soggy that the whole thing falls apart.
It has absolutely no flavor except the cilantro in my pico de gallo...
Worse food ever.
The place is quite dirty as well i should hve know better.
Definitely will not return!!!
Not sure how they got these ratings",1,1,1,1,-1,-1,0,-1,-1,0
3,96nYOXIY33_kScuuq4Dyzg,2,"Was underwhelmed by this place. Always thought it would be cool often walking by it at Aria. Service was solid but food took a long time. Had the melon salad dish, not bad. The mixed ceviche was my fav. The mixed ceviche piaia wasn't bad with lobster,  chicken and shrimp but didn't seem worth the 50 dollar ticket price. I would have rated this a 3 star spot but for this price I expected it to be better.  I doubt it will be better should I return. Firefly, Yonaka Japanese style or even, Hawaiian inspired 808 tapas was much better.",1,0,1,1,0,0,0,-1,-1,0
4,dmUQO0S4u-hU4W2ndxqOSA,1,"If you ever wonder how bad fast food can get, come to Avondale. They've put us off Panda Express indefinitely due to:
1.) Incompetent help
2.) TERRIBLE food
3.) Creating the impression #1 and #2 are what people want, apparently in lieu of food.
And yes, we've contacted mgmt.",1,0,1,0,-1,0,-1,0,-1,0
5,TnapIgdOmFhTlmtmsWwPuA,2,"I had a completely disappointing experience on my last visit because of their service. I made reservations over 2 weeks ago for the private room that seats 20 on table. A couple of days prior to my reservation I called to confirm that it was still available which they said it was. When I arrived, they forgot about my reservation and tried to make excuses that they do not take reservations. We pointed out our reservations on the list and advised that we have booked the room before. I am giving them 2 stars because the food was still good.",1,0,1,0,1,0,-1,0,0,0
6,6u1M7t0B_tSl_4M1pqiufA,2,"Wanted to love it because I like the decor and the location is great. They need to improve the food. I had chicken burritos and there was little chicken and dry crunchy rice. The wait staff was great. My companion had tacos and said there were dry also. With a few culinary improvements they would be great. It appeared they trying for a fancy taco experience and it wasn't a good fit.

New review a year later....much better food. Had the happy hour and the chicken taco Tinga. Much improved!",1,1,1,0,1,1,1,0,1,0
7,x4OO89WaK8wGIJkKNlropA,2,"For the record, I have returned a few times and still entirely stand by my original review from nearly 3 years ago. I will add that the food portions also seem to be decreasing! We went during happy hour last week and I had the worst tasting rye drink possible - described as rye with fig jam, bitters and lemon, sounded like something that cannot possibly be fucked up, but tasted like nothing but the juice wrenched out of unripe lemons - super dry and gave me a stomach ache. No fig flavor to be detected. To make matters worse, when my partner tried to ask the bartender about the drink, if it was supposed to be sooo god-aweful lemony, she responded with a ""yes, it's got lemon in it."" When he pressed the issue, she simply repeated, ""yes, it's a lemon and fig drink."" More frustrating than conversations with the wall. The risotto that we ordered was the size one would expect of a side dish (which is what risotto should be, but this was proposed as an entree...). It had about 5 little pieces of maitake mushroom and 6 hazelnuts in it and was otherwise flavorless. We added lots of salt and pepper. Total waste of $25 bucks. 

Also, their bar seating sucks. The chairs are stationary and far away from each other, and a bit far from the bar for a shorty like me; my feet don't reach the foot bar on the chair either, so my legs fall asleep trying to sit there.",1,1,1,1,-1,-1,-1,-1,-1,0
8,mWhFyqzrNxSuZiV4n5w9ZA,2,"The food is great. Burgers are fresh and delicious. Have been here a few times, but their food service hours are SO INCONSISTENT!
The date is 5\/8 at 10:15pm. My husband called earlier this afternoon to ask what time the kitchen was open until-- they said midnight.
Great! We walk 15 minutes from our house, hungry and excited for delicious burgers. The sign on the door says late night menu until 2am. How convenient for a second shifter!
We walk in and the host grabs menu and walks us to the table, then taps the table with the menus and says to my husband, ""Sorry man, the kitchen's closed.""
We are obviously shocked and so disappointed. He double checks for us. We called and checked. But the kitchen is closed.
I've lived here for 2 years and seen this location have 3 different restaurants. If they cant be consistent with their customers, they will fail.
10 months later...
Food still good, but I get anxiety every time because there is always some issue. On NYE 2016 I had to make a second trip back after my carry-out order was wrong. I know that was months ago, but just 10 minutes ago I received my delivery in which I requested malt vinegar on the side. There's a giant receipt on the bag with my request on it, but of course none in the bag. A missing condiment is a small issue, but it's the little mistakes coupled with the large mistakes that continue to leave my enthusiasm for this restaurant on a roller coaster ride.
TL;DR: Dine in by 9pm, I wouldn't recommend getting carry-out or delivery.",1,0,1,0,1,0,-1,0,0,0
9,UbdppJ3ygDGunuL0Weyezw,2,"So the family would like me to start off by saying wouldn't it be nice if the servers smiled at least once. Oh yes and why are they so stingy with the butter. Oh and when did they change their menu. 
I guess we shouldn't expect good things to remain good forever, but we can dream. We used to enjoy The Good Egg but now......well.....meh. Wish we still liked it but, no.",1,0,1,0,-1,0,-1,0,-1,0
10,bsBPZxWLzmi-HqX_eI2a4g,2,"Well, after reading the reviews, I thought this would be a perfect spot to check out on New Years Eve. The space is lovely. I know that they are known for their service, but to me, it felt forced, not at all genuine and completely over the top.

We ordered the sangria, it was decent. I've had better. The bread came out and it was moldy. Being as I've spent years in food service, I know this can happen unintentionally so I very quietly called over a gentlemen (not our server) and whispered to him that he may want to check the other bread before it goes out and that I wasn't upset at all, just wanted him to know. The server comes rushing over, loud as can be and says something is wrong with the bread, I'll get you a new one right away. I assured him it was no biggie and he wouldn't drop it. Plus it just brought attention to a situation that didn't require attention. So there was that.

I ordered the stuffed shrimp and my husband ordered the paella. The seafood was cooked well and there was enough of it, but the rice was awful. It didn't have the crisp bottom that is what you look for with paella. Literally, we make a better paella at home. It was rather disappointing. The whole experience was just eh. Our bill for those two dishes and a pitcher of sangria was $80 + with tip. Not a lot to spend on a meal on NYE, but not worth it for that meal.",1,1,1,1,-1,1,-1,-1,-1,0
11,Dcx6vvACXkYKqeG0iThTVw,1,"The food was so oily. Taste strong, maybe lots of SMG. Service was poor, and I will not come again.",1,0,1,0,-1,0,-1,0,-1,0
